cls,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
car,71.738,67.607,76.497,70.826,86.765,79.213,89.104,88.317,73.556,80.865,87.161,70.483,76.282,87.242,77.083,79.356,97.215,67.1,21.398,11.503,60244,15672,1726,608,1085,346,186,1436,66.157,82.274,74.717,91.531,56722,19194,5248,61970,75916,1814,1617
bike,36.772,21.536,63.214,22.63,68.842,67.031,78.366,78.894,37.742,48.068,74.69,35.902,25.633,75.175,25.855,29.364,89.325,28.634,17.181,54.185,2912,7005,348,22,65,39,123,122,18.343,42.164,28.013,85.215,2778,7139,482,3260,9917,154,227
pedestrian,36.433,30.096,44.57,32.248,63.453,48.767,65.248,73.73,37.813,55.048,65.633,36.13,34.236,68.816,35.238,43.03,84.669,20.904,39.206,39.89,38610,51119,6991,899,458,859,874,4164,20.818,49.699,37.478,73.746,33629,56100,11972,45601,89729,1986,2191
van,61.357,49.139,77.176,56.101,73.462,79.497,89.27,86.405,65.684,70.814,84.831,60.072,52.379,84.997,52.708,64.538,84.509,51.299,21.429,27.273,4517,2482,828,23,79,33,42,83,42.697,71.306,62.88,82.339,4401,2598,944,5345,6999,173,154
truck,43.309,24.064,78.064,25.199,78.516,79.986,90.36,87.85,44.338,48.827,86.601,42.285,24.506,86.801,24.584,28.339,88.299,21.053,17.105,61.842,732,1851,97,2,16,13,47,10,20.766,42.614,28.146,87.696,727,1856,102,829,2583,45,76
bus,68.349,62.517,75.151,66.91,81.225,77.712,87.106,84.601,70.874,83.026,81.36,67.55,74.388,82.706,74.688,78.532,95.333,60.417,27.083,12.5,1573,430,77,6,29,13,6,22,60.807,84.698,77.234,93.758,1547,456,103,1650,2003,56,48
tricycle,31.718,15.632,64.746,16.042,74.088,66.776,83.254,81.045,32.162,39.317,77.67,30.537,17.918,78.329,18.106,19.879,91.812,15.517,13.793,70.69,527,2124,47,5,9,8,41,18,13.61,31.38,19.087,88.153,506,2145,68,574,2651,27,58
awning-bike,44.615,32.489,62.241,34.16,73.17,65.121,81.099,79.882,45.85,57.602,76.146,43.861,39.806,76.568,40.432,43.558,93.302,33.974,21.795,44.231,2786,3610,200,40,53,34,69,144,29.599,54.978,40.322,86.37,2579,3817,407,2986,6396,141,156
cls_comb_cls_av,49.286,37.885,67.707,40.514,74.94,70.513,82.976,82.59,51.002,60.446,79.261,48.353,43.144,80.079,43.587,48.325,90.558,37.362,22.374,40.264,111901,84293,10314,1605,1794,1345,1388,5999,34.1,57.389,45.985,86.101,102889,93305,19326,122215,196194,4396,4527
cls_comb_det_av,54.521,44.181,68.832,47.644,76.484,72.21,84.714,82.845,56.907,66.651,78.356,52.225,50.961,80.105,51.779,57.036,91.561,39.629,29.711,30.66,111901,84293,10314,1605,1794,1345,1388,5999,39.614,64.627,52.442,84.187,102889,93305,19326,122215,196194,4396,4527
HUMAN,36.433,30.096,44.57,32.248,63.453,48.767,65.248,73.73,37.813,55.048,65.633,36.13,34.236,68.816,35.238,43.03,84.669,20.904,39.206,39.89,38610,51119,6991,899,458,859,874,4164,20.818,49.699,37.478,73.746,33629,56100,11972,45601,89729,1986,2191
VEHICLE,70.151,64.597,76.568,68.212,85.517,79.249,89.127,88.099,72.214,79.318,86.859,68.895,72.798,86.979,73.528,76.646,96.091,63.799,21.372,14.828,67066,20435,2728,639,1209,405,281,1551,62.818,80.609,72.453,90.834,63397,24104,6397,69794,87501,2088,1895
BIKE,39.025,24.43,63.017,25.598,71.178,66.247,80.202,79.525,40.012,50.443,75.594,38.132,29.335,76.065,29.688,32.825,91.276,28.798,18.367,52.834,6225,12739,595,67,127,81,233,284,21.478,45.478,30.916,85.968,5863,13101,957,6820,18964,322,441
